num,carat,depth,table,x,y,price
1,0.23,61.5,55,3.95,3.56,3000
2,0.21,59.8,61,3.89,4.3,3200
3,0.23,56.9,65,4.05,3.8,3450
4,0.29,62.4,58,4.2,3.98,6500
5,0.31,63.3,58,4.34,3.87,3200
6,0.24,62.8,57,3.94,3.7,3450
7,0.24,62.3,57,3.95,2.8,7890
8,0.26,61.9,55,4.07,4.7,4560
9,0.22,65.1,61,3.87,3.45,2340
10,0.23,59.4,61,4,4.14,6780
11,0.3,64,55,4.25,3.93,7890
12,0.23,62.8,56,3.93,4.11,1230
13,0.22,60.4,61,3.88,3.89,3670
14,0.31,62.2,54,4.35,4.17,1780
15,0.2,60.2,62,3.79,3.34,4590
16,0.32,60.9,58,4.38,3.78,5890
17,0.3,62,54,4.31,4.33,2380
18,0.3,63.4,54,4.23,3.45,3490
19,0.3,63.8,56,4.23,3.99,4570
20,0.3,62.7,59,4.21,4.11,2390
21,0.3,63.3,56,4.26,3.457,1290
22,0.23,63.8,55,3.85,3.55,5000
23,0.23,61,57,3.94,3.54,8000
24,0.31,59.4,62,4.39,3.22,5400
25,0.31,58.1,62,4.44,3.77,5090
26,0.23,60.4,58,3.97,4.6,4090
27,0.24,62.5,57,3.97,7.9,6794
28,0.3,62.2,57,4.28,3.98,3970
29,0.23,60.5,61,3.96,3.65,2790
30,0.23,60.9,57,3.96,4.3,1290
31,0.23,60,57,4,3.9,9860
32,0.23,59.8,57,4.04,3.98,7850
33,0.23,60.7,59,3.97,3.98,3980
34,0.23,59.5,58,4.01,3.98,2470
35,0.23,61.9,58,3.92,3.98,9840
36,0.23,58.2,59,4.06,3.98,2376
37,0.23,64.1,59,3.83,3.98,3678
38,0.31,64,54,4.29,3.98,2890
39,0.26,60.8,59,4.13,3.98,3480
40,0.33,61.8,55,4.49,3.98,3690
41,0.33,61.2,56,4.49,3.98,4590
42,0.33,61.1,56,4.49,3.98,1290
43,0.26,65.2,56,3.99,3.98,3489
44,0.26,58.4,63,4.19,3.98,4589
45,0.32,63.1,56,4.34,3.98,4690
46,0.29,62.4,58,4.24,3.98,1480
47,0.32,61.8,55,4.35,3.98,4570
48,0.32,63.8,56,4.36,3.98,2780
49,0.25,63.3,60,4,3.98,4590
50,0.29,60.7,60,4.33,3.98,3477
51,0.24,60.9,61,4.02,3.98,2890
52,0.23,61.9,54,3.93,3.98,4580
53,0.32,60.9,55,4.45,3.98,1280
54,0.22,61.6,58,3.93,3.98,4580
55,0.22,59.3,62,3.91,3.98,3490
56,0.3,61,59,4.3,3.98,5670
57,0.3,59.3,61,4.43,3.98,2230
58,0.3,62.6,57,4.25,3.98,6770
59,0.3,63,57,4.28,3.98,4890
60,0.3,63.2,55,4.25,3.98,3470
61,0.35,60.9,57,4.54,3.98,3680
62,0.3,62.6,59,4.23,3.98,3570
63,0.3,62.5,57,4.29,3.98,3780
64,0.3,62.1,56,4.3,3.98,1120
